topic,count,proportion
Robots,228,0.4318181818181818
Voice Recognition,54,0.10227272727272728
Manipulator,54,0.10227272727272728
Robotics,38,0.07196969696969698
Object Recognition,16,0.030303030303030304
Expert System,13,0.02462121212121212
Feature Extraction,13,0.02462121212121212
Data Center,12,0.022727272727272728
Pattern Recognition,12,0.022727272727272728
Mobile Robots,9,0.017045454545454544
Information Retrieval,9,0.017045454545454544
Image Recognition,8,0.015151515151515152
Database,7,0.013257575757575758
Language Modeling,6,0.011363636363636364
Unmanned Vehicle,6,0.011363636363636364
Data Mining,5,0.00946969696969697
Classification,4,0.007575757575757576
Computer Vision,4,0.007575757575757576
AI,4,0.007575757575757576
Quantum Computing,3,0.005681818181818182
Humanoid Robots,3,0.005681818181818182
Face Detection,2,0.003787878787878788
Dimensionality Reduction,2,0.003787878787878788
Image Classification,2,0.003787878787878788
Image Segmentation,2,0.003787878787878788
NLP,2,0.003787878787878788
BD & Cloud Solutions,2,0.003787878787878788
Transformers & Attention,1,0.001893939393939394
Clustering,1,0.001893939393939394
Text Classification,1,0.001893939393939394
Parallel Processing,1,0.001893939393939394
Hardware Acceleration,1,0.001893939393939394
Optical Computing,1,0.001893939393939394
Pose Estimation,1,0.001893939393939394
Search Algorithm,1,0.001893939393939394
