topic,count,proportion
Robots,383,0.33217692974848223
Manipulator,147,0.12749349522983522
UAM,89,0.07718993928881179
Robotics,85,0.07372072853425846
Data Center,78,0.06764960971379011
Object Recognition,66,0.05724197745013009
Voice Recognition,37,0.032090199479618386
Clouds,35,0.030355594102341718
Image Recognition,24,0.020815264527320035
Pattern Recognition,21,0.01821335646140503
Feature Extraction,21,0.01821335646140503
Database,20,0.017346053772766695
Mobile Robots,19,0.01647875108412836
Classification,13,0.011274934952298352
AI,12,0.010407632263660017
Information Retrieval,11,0.009540329575021683
Data Mining,8,0.006938421509106678
Image Segmentation,7,0.006071118820468344
Expert System,6,0.005203816131830009
Unmanned Vehicle,6,0.005203816131830009
UGV,6,0.005203816131830009
Language Modeling,6,0.005203816131830009
Machine Translation,6,0.005203816131830009
Hardware Acceleration,6,0.005203816131830009
Data Storage,5,0.004336513443191674
Image Classification,5,0.004336513443191674
Face Detection,5,0.004336513443191674
Clustering,4,0.003469210754553339
Big Data,3,0.0026019080659150044
AUV,3,0.0026019080659150044
Text Classification,3,0.0026019080659150044
Supervised Learning,2,0.0017346053772766695
Dynamic Cloud,1,0.0008673026886383347
Humanoid Robots,1,0.0008673026886383347
Gesture Recognition,1,0.0008673026886383347
Loss Function,1,0.0008673026886383347
Parallel Processing,1,0.0008673026886383347
Reinforcement Learning,1,0.0008673026886383347
Machine Learning,1,0.0008673026886383347
Pose Estimation,1,0.0008673026886383347
Back-propagation,1,0.0008673026886383347
Regression,1,0.0008673026886383347
Quantum Computing,1,0.0008673026886383347
